Id,WnvPresent
1,0.002976
10,0.001278
100,0.003023
1000,0.003404
10000,0.018031
100000,0.004562
100001,0.003918
100002,0.004562
100003,0.004562
100004,0.001455
100005,0.004562
100006,0.004562
100007,0.004562
100008,0.003149
100009,0.003156
10001,0.018031
100010,0.003149
100011,0.003149
100012,0.000827
100013,0.003149
100014,0.003149
100015,0.003149
100016,0.004269
100017,0.004269
100018,0.004269
100019,0.004269
10002,0.018031
100020,0.004035
100021,0.004035
100022,0.004035
100023,0.004035
100024,0.004035
100025,0.004035
100026,0.004269
100027,0.004269
100028,0.001222
100029,0.004269
10003,0.026037
100030,0.004269
100031,0.004269
100032,0.003463
100033,0.003089
100034,0.003463
100035,0.003463
100036,0.000885
100037,0.003463
100038,0.003463
100039,0.003463
10004,0.019582
100040,0.004437
100041,0.003250
100042,0.004437
100043,0.004437
100044,0.001247
100045,0.004437
100046,0.004437
100047,0.004437
100048,0.003009
100049,0.002361
10005,0.026037
100050,0.003009
100051,0.003009
100052,0.000854
100053,0.003009
100054,0.003009
100055,0.003009
100056,0.005504
100057,0.004051
100058,0.005504
100059,0.005504
10006,0.026037
100060,0.001661
100061,0.005504
100062,0.005504
100063,0.005504
100064,0.002216
100065,0.001779
100066,0.002216
100067,0.002216
100068,0.000645
100069,0.002216
10007,0.005801
100070,0.002216
100071,0.002216
100072,0.002732
100073,0.002216
100074,0.002732
100075,0.002732
100076,0.000777
100077,0.002732
100078,0.002732
100079,0.002732
10008,0.026037
100080,0.003963
100081,0.003423
100082,0.003963
100083,0.003963
100084,0.001264
100085,0.003963
100086,0.003963
100087,0.003963
100088,0.003879
100089,0.002748
10009,0.026037
100090,0.003879
100091,0.003879
100092,0.001008
100093,0.003879
100094,0.003879
100095,0.003879
100096,0.003874
100097,0.002837
100098,0.003874
100099,0.003874
1001,0.002399
10010,0.026037
100100,0.000930
100101,0.003874
100102,0.003874
100103,0.003874
100104,0.003696
100105,0.002632
100106,0.003696
100107,0.003696
100108,0.000943
100109,0.003696
10011,0.026198
100110,0.003696
100111,0.003696
100112,0.003683
100113,0.002635
100114,0.003683
100115,0.003683
100116,0.000899
100117,0.003683
100118,0.003683
100119,0.003683
10012,0.021904
100120,0.003929
100121,0.003808
100122,0.003929
100123,0.003929
100124,0.001076
100125,0.003929
100126,0.003929
100127,0.003929
100128,0.006725
100129,0.008664
10013,0.026198
100130,0.006725
100131,0.006725
100132,0.002009
100133,0.006725
100134,0.006725
100135,0.006725
100136,0.003643
100137,0.002839
100138,0.003643
100139,0.003643
10014,0.026198
100140,0.001028
100141,0.003643
100142,0.003643
100143,0.003643
100144,0.003925
100145,0.002718
100146,0.003925
100147,0.003925
100148,0.001226
100149,0.003925
10015,0.005758
100150,0.003925
100151,0.003925
100152,0.003845
100153,0.002991
100154,0.003845
100155,0.003845
100156,0.001080
100157,0.003845
100158,0.003845
100159,0.003845
10016,0.026198
100160,0.003261
100161,0.002526
100162,0.003261
100163,0.003261
100164,0.000902
100165,0.003261
100166,0.003261
100167,0.003261
100168,0.004419
100169,0.003043
10017,0.026198
100170,0.004419
100171,0.004419
100172,0.001081
100173,0.004419
100174,0.004419
100175,0.004419
100176,0.003954
100177,0.003304
100178,0.003954
100179,0.003954
10018,0.026198
100180,0.001099
100181,0.003954
100182,0.003954
100183,0.003954
100184,0.003098
100185,0.002153
100186,0.003098
100187,0.003098
100188,0.000817
100189,0.003098
10019,0.021282
100190,0.003098
100191,0.003098
100192,0.004796
100193,0.005172
100194,0.004796
100195,0.004796
100196,0.001270
100197,0.004796
100198,0.004796
100199,0.004796
1002,0.001364
10020,0.016669
100200,0.003944
100201,0.002624
100202,0.003944
100203,0.003944
100204,0.001209
100205,0.003944
100206,0.003944
100207,0.003944
100208,0.004524
100209,0.003879
10021,0.021282
100210,0.004524
100211,0.004524
100212,0.001228
100213,0.004524
100214,0.004524
100215,0.004524
100216,0.004383
100217,0.004036
100218,0.004383
100219,0.004383
10022,0.021282
100220,0.001194
100221,0.004383
100222,0.004383
100223,0.004383
100224,0.003267
100225,0.003236
100226,0.003267
100227,0.003267
100228,0.000867
100229,0.003267
10023,0.004876
100230,0.003267
100231,0.003267
100232,0.003534
100233,0.002583
100234,0.003534
100235,0.003534
100236,0.000879
100237,0.003534
100238,0.003534
100239,0.003534
10024,0.021282
100240,0.004837
100241,0.004115
100242,0.004837
100243,0.004837
100244,0.001421
100245,0.004837
100246,0.004837
100247,0.004837
100248,0.002650
100249,0.002548
10025,0.021282
100250,0.002650
100251,0.002650
100252,0.000671
100253,0.002650
100254,0.002650
100255,0.002650
100256,0.003001
100257,0.002545
100258,0.003001
100259,0.003001
10026,0.021282
100260,0.000821
100261,0.003001
100262,0.003001
100263,0.003001
100264,0.002537
100265,0.002172
100266,0.002537
100267,0.002537
100268,0.000678
100269,0.002537
10027,0.027291
100270,0.002537
100271,0.002537
100272,0.003242
100273,0.002336
100274,0.003242
100275,0.003242
100276,0.000821
100277,0.003242
100278,0.003242
100279,0.003242
10028,0.019878
100280,0.003286
100281,0.002462
100282,0.003286
100283,0.003286
100284,0.000890
100285,0.003286
100286,0.003286
100287,0.003286
100288,0.004162
100289,0.003631
10029,0.027291
100290,0.004162
100291,0.004162
100292,0.001139
100293,0.004162
100294,0.004162
100295,0.004162
100296,0.003501
100297,0.003501
100298,0.002082
100299,0.002082
1003,0.002399
10030,0.027291
100300,0.003501
100301,0.003501
100302,0.000840
100303,0.003501
100304,0.003501
100305,0.003501
100306,0.002159
100307,0.001366
100308,0.002159
100309,0.002159
10031,0.006078
100310,0.000494
100311,0.002159
100312,0.002159
100313,0.002159
100314,0.003582
100315,0.002247
100316,0.003582
100317,0.003582
100318,0.000880
100319,0.003582
10032,0.027291
100320,0.003582
100321,0.003582
100322,0.002718
100323,0.001741
100324,0.002718
100325,0.002718
100326,0.000670
100327,0.002718
100328,0.002718
100329,0.002718
10033,0.027291
100330,0.002493
100331,0.001605
100332,0.002493
100333,0.002493
100334,0.000605
100335,0.002493
100336,0.002493
100337,0.002493
100338,0.002527
100339,0.001622
10034,0.027291
100340,0.001622
100341,0.002527
100342,0.002527
100343,0.000619
100344,0.002527
100345,0.002527
100346,0.002527
100347,0.002493
100348,0.001614
100349,0.002493
10035,0.028080
100350,0.002493
100351,0.000605
100352,0.002493
100353,0.002493
100354,0.002493
100355,0.002900
100356,0.001842
100357,0.002900
100358,0.002900
100359,0.000700
10036,0.022470
100360,0.002900
100361,0.002900
100362,0.002900
100363,0.003386
100364,0.002356
100365,0.002356
100366,0.003386
100367,0.003386
100368,0.000839
100369,0.003386
10037,0.028080
100370,0.003386
100371,0.003386
100372,0.005171
100373,0.003337
100374,0.005171
100375,0.005171
100376,0.001296
100377,0.005171
100378,0.005171
100379,0.005171
10038,0.028080
100380,0.002528
100381,0.001626
100382,0.002528
100383,0.002528
100384,0.000620
100385,0.002528
100386,0.002528
100387,0.002528
100388,0.004520
100389,0.002588
10039,0.006297
100390,0.004520
100391,0.004520
100392,0.001224
100393,0.004520
100394,0.004520
100395,0.004520
100396,0.003958
100397,0.002743
100398,0.003958
100399,0.003958
1004,0.002399
10040,0.028080
100400,0.001007
100401,0.003958
100402,0.003958
100403,0.003958
100404,0.002397
