,Yes,No,bin
0,34.27,65.73,low
1,30.69,69.31,low
2,0.0,100.0,lowest
3,0.06,99.94,lowest
4,0.0,100.0,lowest
5,40.59,59.41,low
6,44.41,55.59,low
7,34.27,65.73,low
8,0.0,100.0,lowest
9,0.0,100.0,lowest
10,43.97,56.03,low
11,0.05,99.95,lowest
12,0.06,99.94,lowest
13,0.0,100.0,lowest
14,46.01,53.99,low
15,38.67,61.33,low
16,40.59,59.41,low
17,0.05,99.95,lowest
18,30.69,69.31,low
19,0.05,99.95,lowest
20,0.06,99.94,lowest
21,0.06,99.94,lowest
22,39.5,60.5,low
23,0.06,99.94,lowest
24,0.0,100.0,lowest
25,0.0,100.0,lowest
26,0.0,100.0,lowest
27,0.05,99.95,lowest
28,34.27,65.73,low
29,0.0,100.0,lowest
30,0.06,99.94,lowest
31,0.06,99.94,lowest
32,44.41,55.59,low
33,44.41,55.59,low
34,0.0,100.0,lowest
35,44.41,55.59,low
36,39.5,60.5,low
37,0.05,99.95,lowest
38,0.0,100.0,lowest
39,40.59,59.41,low
40,30.69,69.31,low
41,63.64,36.36,mid
42,43.46,56.54,low
43,44.41,55.59,low
44,30.69,69.31,low
45,0.0,100.0,lowest
46,30.69,69.31,low
47,52.42,47.58,mid
48,0.0,100.0,lowest
49,43.46,56.54,low
50,0.0,100.0,lowest
51,0.06,99.94,lowest
52,34.87,65.13,low
53,0.0,100.0,lowest
54,0.0,100.0,lowest
55,0.0,100.0,lowest
56,43.97,56.03,low
57,0.05,99.95,lowest
58,39.5,60.5,low
59,39.5,60.5,low
60,38.67,61.33,low
61,30.69,69.31,low
62,0.05,99.95,lowest
63,0.0,100.0,lowest
64,0.06,99.94,lowest
65,39.5,60.5,low
66,0.05,99.95,lowest
67,0.0,100.0,lowest
68,55.86,44.14,mid
69,0.05,99.95,lowest
70,43.97,56.03,low
71,44.41,55.59,low
72,0.05,99.95,lowest
73,0.06,99.94,lowest
74,0.0,100.0,lowest
75,0.0,100.0,lowest
76,30.69,69.31,low
77,43.97,56.03,low
78,39.5,60.5,low
79,34.27,65.73,low
80,0.0,100.0,lowest
81,0.0,100.0,lowest
82,40.59,59.41,low
83,0.0,100.0,lowest
84,39.5,60.5,low
85,36.6,63.4,low
86,30.69,69.31,low
87,0.05,99.95,lowest
88,40.59,59.41,low
89,0.05,99.95,lowest
90,0.0,100.0,lowest
91,40.59,59.41,low
92,30.69,69.31,low
93,0.0,100.0,lowest
94,0.05,99.95,lowest
95,0.0,100.0,lowest
96,0.06,99.94,lowest
97,0.0,100.0,lowest
98,0.05,99.95,lowest
99,0.0,100.0,lowest
100,0.0,100.0,lowest
101,44.41,55.59,low
102,34.27,65.73,low
103,0.0,100.0,lowest
104,0.0,100.0,lowest
105,0.05,99.95,lowest
106,0.0,100.0,lowest
107,39.5,60.5,low
108,0.0,100.0,lowest
109,0.05,99.95,lowest
110,34.27,65.73,low
111,0.06,99.94,lowest
112,30.69,69.31,low
113,30.69,69.31,low
114,52.42,47.58,mid
115,43.46,56.54,low
116,0.06,99.94,lowest
117,44.41,55.59,low
118,30.69,69.31,low
119,0.05,99.95,lowest
120,39.5,60.5,low
121,0.0,100.0,lowest
122,0.0,100.0,lowest
123,38.67,61.33,low
124,0.0,100.0,lowest
125,44.41,55.59,low
126,44.41,55.59,low
127,42.34,57.66,low
128,0.05,99.95,lowest
129,0.0,100.0,lowest
130,44.41,55.59,low
131,44.41,55.59,low
132,30.69,69.31,low
133,34.27,65.73,low
134,44.41,55.59,low
135,44.41,55.59,low
136,44.41,55.59,low
137,46.01,53.99,low
138,44.41,55.59,low
139,44.41,55.59,low
140,44.41,55.59,low
141,0.04,99.96,lowest
142,0.0,100.0,lowest
143,39.5,60.5,low
144,44.41,55.59,low
145,0.0,100.0,lowest
146,40.35,59.65,low
147,0.0,100.0,lowest
148,44.41,55.59,low
149,44.41,55.59,low
150,44.41,55.59,low
151,30.69,69.31,low
152,47.59,52.41,low
153,44.41,55.59,low
154,44.41,55.59,low
155,0.0,100.0,lowest
156,0.05,99.95,lowest
157,30.69,69.31,low
158,39.5,60.5,low
159,0.0,100.0,lowest
160,44.41,55.59,low
161,30.69,69.31,low
162,44.41,55.59,low
163,39.5,60.5,low
164,44.41,55.59,low
165,30.69,69.31,low
166,30.69,69.31,low
167,0.06,99.94,lowest
168,0.0,100.0,lowest
169,55.86,44.14,mid
170,44.41,55.59,low
171,43.97,56.03,low
172,43.97,56.03,low
173,44.41,55.59,low
174,40.59,59.41,low
175,0.0,100.0,lowest
176,43.97,56.03,low
177,0.05,99.95,lowest
178,30.69,69.31,low
179,30.69,69.31,low
180,0.0,100.0,lowest
181,0.0,100.0,lowest
182,0.06,99.94,lowest
183,0.05,99.95,lowest
184,40.59,59.41,low
185,30.69,69.31,low
186,0.0,100.0,lowest
187,0.0,100.0,lowest
188,52.42,47.58,mid
189,30.69,69.31,low
190,30.69,69.31,low
191,44.41,55.59,low
192,0.1,99.9,lowest
193,0.05,99.95,lowest
194,44.41,55.59,low
195,44.41,55.59,low
196,34.27,65.73,low
197,0.0,100.0,lowest
198,34.27,65.73,low
199,43.97,56.03,low
200,38.08,61.92,low
201,40.59,59.41,low
202,0.0,100.0,lowest
203,0.05,99.95,lowest
204,40.59,59.41,low
205,0.0,100.0,lowest
206,0.0,100.0,lowest
207,0.0,100.0,lowest
208,0.0,100.0,lowest
209,40.59,59.41,low
210,51.8,48.2,mid
211,0.0,100.0,lowest
212,43.97,56.03,low
213,0.0,100.0,lowest
214,0.0,100.0,lowest
215,43.97,56.03,low
216,36.6,63.4,low
217,0.0,100.0,lowest
218,0.0,100.0,lowest
219,0.0,100.0,lowest
220,0.06,99.94,lowest
221,0.06,99.94,lowest
222,39.5,60.5,low
223,0.0,100.0,lowest
224,44.41,55.59,low
225,0.05,99.95,lowest
226,30.69,69.31,low
227,43.97,56.03,low
228,0.0,100.0,lowest
229,30.69,69.31,low
230,52.42,47.58,mid
231,0.0,100.0,lowest
232,0.05,99.95,lowest
233,55.86,44.14,mid
234,0.0,100.0,lowest
235,0.05,99.95,lowest
236,0.0,100.0,lowest
237,30.69,69.31,low
238,39.5,60.5,low
239,0.06,99.94,lowest
240,34.87,65.13,low
241,0.0,100.0,lowest
242,44.41,55.59,low
243,44.41,55.59,low
244,0.07,99.93,lowest
245,30.69,69.31,low
246,30.69,69.31,low
247,30.69,69.31,low
248,30.69,69.31,low
249,0.07,99.93,lowest
250,44.41,55.59,low
251,0.1,99.9,lowest
252,30.69,69.31,low
253,44.41,55.59,low
254,44.41,55.59,low
255,38.08,61.92,low
256,40.59,59.41,low
257,0.05,99.95,lowest
258,30.69,69.31,low
259,0.0,100.0,lowest
260,0.0,100.0,lowest
261,0.0,100.0,lowest
262,44.41,55.59,low
263,30.69,69.31,low
264,0.0,100.0,lowest
265,40.59,59.41,low
