classifier,train_size,training_time(s),prediction_time(s),f1_train,f1_test
adaboost,25,0.479000091553,1.0,1.0,0.702290076336
adaboost,50,0.452999830246,1.0,1.0,0.692913385827
adaboost,100,0.461999893188,0.977777777778,0.977777777778,0.688
adaboost,200,0.480999946594,0.890510948905,0.890510948905,0.744525547445
adaboost,300,0.513999938965,0.856470588235,0.856470588235,0.732824427481
mnb,25,0.00300002098083,0.878048780488,0.878048780488,0.740740740741
mnb,50,0.0,0.883116883117,0.883116883117,0.716417910448
mnb,100,0.00399994850159,0.819444444444,0.819444444444,0.705035971223
mnb,200,0.00399994850159,0.798586572438,0.798586572438,0.766917293233
mnb,300,0.0,0.814814814815,0.814814814815,0.785185185185
svc,25,0.000999927520752,0.863636363636,0.863636363636,0.805031446541
svc,50,0.0,0.837209302326,0.837209302326,0.805031446541
svc,100,0.00399994850159,0.795180722892,0.795180722892,0.805031446541
svc,200,0.010999917984,0.787878787879,0.787878787879,0.805031446541
svc,300,0.0139999389648,0.802395209581,0.802395209581,0.805031446541
