,Yes,No,bin
0,34.27,65.73,low
1,30.69,69.31,low
5,40.59,59.41,low
6,44.41,55.59,low
7,34.27,65.73,low
10,43.97,56.03,low
14,46.01,53.99,low
15,38.67,61.33,low
16,40.59,59.41,low
18,30.69,69.31,low
22,39.5,60.5,low
28,34.27,65.73,low
32,44.41,55.59,low
33,44.41,55.59,low
35,44.41,55.59,low
36,39.5,60.5,low
39,40.59,59.41,low
40,30.69,69.31,low
42,43.46,56.54,low
43,44.41,55.59,low
44,30.69,69.31,low
46,30.69,69.31,low
49,43.46,56.54,low
52,34.87,65.13,low
56,43.97,56.03,low
58,39.5,60.5,low
59,39.5,60.5,low
60,38.67,61.33,low
61,30.69,69.31,low
65,39.5,60.5,low
70,43.97,56.03,low
71,44.41,55.59,low
76,30.69,69.31,low
77,43.97,56.03,low
78,39.5,60.5,low
79,34.27,65.73,low
82,40.59,59.41,low
84,39.5,60.5,low
85,36.6,63.4,low
86,30.69,69.31,low
88,40.59,59.41,low
91,40.59,59.41,low
92,30.69,69.31,low
101,44.41,55.59,low
102,34.27,65.73,low
107,39.5,60.5,low
110,34.27,65.73,low
112,30.69,69.31,low
113,30.69,69.31,low
115,43.46,56.54,low
117,44.41,55.59,low
118,30.69,69.31,low
120,39.5,60.5,low
123,38.67,61.33,low
125,44.41,55.59,low
126,44.41,55.59,low
127,42.34,57.66,low
130,44.41,55.59,low
131,44.41,55.59,low
132,30.69,69.31,low
133,34.27,65.73,low
134,44.41,55.59,low
135,44.41,55.59,low
136,44.41,55.59,low
137,46.01,53.99,low
138,44.41,55.59,low
139,44.41,55.59,low
140,44.41,55.59,low
143,39.5,60.5,low
144,44.41,55.59,low
146,40.35,59.65,low
148,44.41,55.59,low
149,44.41,55.59,low
150,44.41,55.59,low
151,30.69,69.31,low
152,47.59,52.41,low
153,44.41,55.59,low
154,44.41,55.59,low
157,30.69,69.31,low
158,39.5,60.5,low
160,44.41,55.59,low
161,30.69,69.31,low
162,44.41,55.59,low
163,39.5,60.5,low
164,44.41,55.59,low
165,30.69,69.31,low
166,30.69,69.31,low
170,44.41,55.59,low
171,43.97,56.03,low
172,43.97,56.03,low
173,44.41,55.59,low
174,40.59,59.41,low
176,43.97,56.03,low
178,30.69,69.31,low
179,30.69,69.31,low
184,40.59,59.41,low
185,30.69,69.31,low
189,30.69,69.31,low
190,30.69,69.31,low
191,44.41,55.59,low
194,44.41,55.59,low
195,44.41,55.59,low
196,34.27,65.73,low
198,34.27,65.73,low
199,43.97,56.03,low
200,38.08,61.92,low
201,40.59,59.41,low
204,40.59,59.41,low
209,40.59,59.41,low
212,43.97,56.03,low
215,43.97,56.03,low
216,36.6,63.4,low
222,39.5,60.5,low
224,44.41,55.59,low
226,30.69,69.31,low
227,43.97,56.03,low
229,30.69,69.31,low
237,30.69,69.31,low
238,39.5,60.5,low
240,34.87,65.13,low
242,44.41,55.59,low
243,44.41,55.59,low
245,30.69,69.31,low
246,30.69,69.31,low
247,30.69,69.31,low
248,30.69,69.31,low
250,44.41,55.59,low
252,30.69,69.31,low
253,44.41,55.59,low
254,44.41,55.59,low
255,38.08,61.92,low
256,40.59,59.41,low
258,30.69,69.31,low
262,44.41,55.59,low
263,30.69,69.31,low
265,40.59,59.41,low
267,40.59,59.41,low
271,40.59,59.41,low
274,43.97,56.03,low
276,30.69,69.31,low
281,30.69,69.31,low
282,43.97,56.03,low
283,30.69,69.31,low
284,30.69,69.31,low
285,43.97,56.03,low
287,40.59,59.41,low
288,40.59,59.41,low
289,40.59,59.41,low
293,40.59,59.41,low
294,40.59,59.41,low
298,43.97,56.03,low
300,38.67,61.33,low
302,43.97,56.03,low
306,46.01,53.99,low
310,46.01,53.99,low
321,30.69,69.31,low
323,44.41,55.59,low
324,47.58,52.42,low
325,40.09,59.91,low
327,30.69,69.31,low
330,39.5,60.5,low
331,34.27,65.73,low
332,44.41,55.59,low
333,46.01,53.99,low
334,44.41,55.59,low
335,34.27,65.73,low
338,30.69,69.31,low
341,44.41,55.59,low
342,34.27,65.73,low
343,44.41,55.59,low
344,30.69,69.31,low
345,30.69,69.31,low
346,30.69,69.31,low
349,30.69,69.31,low
352,30.69,69.31,low
355,44.41,55.59,low
358,30.69,69.31,low
359,44.41,55.59,low
360,44.41,55.59,low
361,39.5,60.5,low
362,44.41,55.59,low
364,44.41,55.59,low
367,43.97,56.03,low
372,30.69,69.31,low
373,30.69,69.31,low
375,39.5,60.5,low
379,40.59,59.41,low
381,30.69,69.31,low
382,39.5,60.5,low
383,44.41,55.59,low
386,40.59,59.41,low
387,44.41,55.59,low
389,44.41,55.59,low
391,36.24,63.76,low
393,44.41,55.59,low
394,30.69,69.31,low
