,Yes,No,bin
2,0.0,100.0,lowest
3,0.06,99.94,lowest
4,0.0,100.0,lowest
8,0.0,100.0,lowest
9,0.0,100.0,lowest
11,0.05,99.95,lowest
12,0.06,99.94,lowest
13,0.0,100.0,lowest
17,0.05,99.95,lowest
19,0.05,99.95,lowest
20,0.06,99.94,lowest
21,0.06,99.94,lowest
23,0.06,99.94,lowest
24,0.0,100.0,lowest
25,0.0,100.0,lowest
26,0.0,100.0,lowest
27,0.05,99.95,lowest
29,0.0,100.0,lowest
30,0.06,99.94,lowest
31,0.06,99.94,lowest
34,0.0,100.0,lowest
37,0.05,99.95,lowest
38,0.0,100.0,lowest
45,0.0,100.0,lowest
48,0.0,100.0,lowest
50,0.0,100.0,lowest
51,0.06,99.94,lowest
53,0.0,100.0,lowest
54,0.0,100.0,lowest
55,0.0,100.0,lowest
57,0.05,99.95,lowest
62,0.05,99.95,lowest
63,0.0,100.0,lowest
64,0.06,99.94,lowest
66,0.05,99.95,lowest
67,0.0,100.0,lowest
69,0.05,99.95,lowest
72,0.05,99.95,lowest
73,0.06,99.94,lowest
74,0.0,100.0,lowest
75,0.0,100.0,lowest
80,0.0,100.0,lowest
81,0.0,100.0,lowest
83,0.0,100.0,lowest
87,0.05,99.95,lowest
89,0.05,99.95,lowest
90,0.0,100.0,lowest
93,0.0,100.0,lowest
94,0.05,99.95,lowest
95,0.0,100.0,lowest
96,0.06,99.94,lowest
97,0.0,100.0,lowest
98,0.05,99.95,lowest
99,0.0,100.0,lowest
100,0.0,100.0,lowest
103,0.0,100.0,lowest
104,0.0,100.0,lowest
105,0.05,99.95,lowest
106,0.0,100.0,lowest
108,0.0,100.0,lowest
109,0.05,99.95,lowest
111,0.06,99.94,lowest
116,0.06,99.94,lowest
119,0.05,99.95,lowest
121,0.0,100.0,lowest
122,0.0,100.0,lowest
124,0.0,100.0,lowest
128,0.05,99.95,lowest
129,0.0,100.0,lowest
141,0.04,99.96,lowest
142,0.0,100.0,lowest
145,0.0,100.0,lowest
147,0.0,100.0,lowest
155,0.0,100.0,lowest
156,0.05,99.95,lowest
159,0.0,100.0,lowest
167,0.06,99.94,lowest
168,0.0,100.0,lowest
175,0.0,100.0,lowest
177,0.05,99.95,lowest
180,0.0,100.0,lowest
181,0.0,100.0,lowest
182,0.06,99.94,lowest
183,0.05,99.95,lowest
186,0.0,100.0,lowest
187,0.0,100.0,lowest
192,0.1,99.9,lowest
193,0.05,99.95,lowest
197,0.0,100.0,lowest
202,0.0,100.0,lowest
203,0.05,99.95,lowest
205,0.0,100.0,lowest
206,0.0,100.0,lowest
207,0.0,100.0,lowest
208,0.0,100.0,lowest
211,0.0,100.0,lowest
213,0.0,100.0,lowest
214,0.0,100.0,lowest
217,0.0,100.0,lowest
218,0.0,100.0,lowest
219,0.0,100.0,lowest
220,0.06,99.94,lowest
221,0.06,99.94,lowest
223,0.0,100.0,lowest
225,0.05,99.95,lowest
228,0.0,100.0,lowest
231,0.0,100.0,lowest
232,0.05,99.95,lowest
234,0.0,100.0,lowest
235,0.05,99.95,lowest
236,0.0,100.0,lowest
239,0.06,99.94,lowest
241,0.0,100.0,lowest
244,0.07,99.93,lowest
249,0.07,99.93,lowest
251,0.1,99.9,lowest
257,0.05,99.95,lowest
259,0.0,100.0,lowest
260,0.0,100.0,lowest
261,0.0,100.0,lowest
264,0.0,100.0,lowest
266,0.0,100.0,lowest
269,0.06,99.94,lowest
270,0.1,99.9,lowest
272,0.0,100.0,lowest
273,0.0,100.0,lowest
275,0.0,100.0,lowest
277,0.0,100.0,lowest
279,0.0,100.0,lowest
280,0.0,100.0,lowest
286,0.0,100.0,lowest
290,0.0,100.0,lowest
292,0.05,99.95,lowest
295,0.05,99.95,lowest
297,0.1,99.9,lowest
299,0.0,100.0,lowest
301,0.0,100.0,lowest
308,0.06,99.94,lowest
309,0.1,99.9,lowest
315,0.1,99.9,lowest
316,0.0,100.0,lowest
317,0.0,100.0,lowest
318,0.0,100.0,lowest
319,0.0,100.0,lowest
320,0.0,100.0,lowest
322,0.0,100.0,lowest
326,0.05,99.95,lowest
328,0.0,100.0,lowest
329,0.0,100.0,lowest
336,0.1,99.9,lowest
337,0.0,100.0,lowest
339,0.0,100.0,lowest
340,0.1,99.9,lowest
347,0.0,100.0,lowest
351,0.06,99.94,lowest
354,0.0,100.0,lowest
356,0.0,100.0,lowest
357,0.06,99.94,lowest
363,0.0,100.0,lowest
365,0.0,100.0,lowest
366,0.0,100.0,lowest
368,0.0,100.0,lowest
369,0.0,100.0,lowest
371,0.0,100.0,lowest
374,0.06,99.94,lowest
376,0.04,99.96,lowest
377,0.0,100.0,lowest
378,0.0,100.0,lowest
380,0.0,100.0,lowest
384,0.0,100.0,lowest
385,0.0,100.0,lowest
388,0.0,100.0,lowest
390,0.1,99.9,lowest
