,Yes,No,bin
205,0.0,100.0,lowest
83,0.0,100.0,lowest
290,0.0,100.0,lowest
81,0.0,100.0,lowest
80,0.0,100.0,lowest
208,0.0,100.0,lowest
236,0.0,100.0,lowest
211,0.0,100.0,lowest
75,0.0,100.0,lowest
74,0.0,100.0,lowest
142,0.0,100.0,lowest
286,0.0,100.0,lowest
339,0.0,100.0,lowest
234,0.0,100.0,lowest
197,0.0,100.0,lowest
213,0.0,100.0,lowest
67,0.0,100.0,lowest
145,0.0,100.0,lowest
147,0.0,100.0,lowest
280,0.0,100.0,lowest
63,0.0,100.0,lowest
279,0.0,100.0,lowest
214,0.0,100.0,lowest
277,0.0,100.0,lowest
241,0.0,100.0,lowest
347,0.0,100.0,lowest
356,0.0,100.0,lowest
207,0.0,100.0,lowest
337,0.0,100.0,lowest
121,0.0,100.0,lowest
122,0.0,100.0,lowest
202,0.0,100.0,lowest
320,0.0,100.0,lowest
328,0.0,100.0,lowest
124,0.0,100.0,lowest
108,0.0,100.0,lowest
329,0.0,100.0,lowest
106,0.0,100.0,lowest
319,0.0,100.0,lowest
104,0.0,100.0,lowest
206,0.0,100.0,lowest
103,0.0,100.0,lowest
317,0.0,100.0,lowest
100,0.0,100.0,lowest
99,0.0,100.0,lowest
97,0.0,100.0,lowest
129,0.0,100.0,lowest
95,0.0,100.0,lowest
316,0.0,100.0,lowest
93,0.0,100.0,lowest
301,0.0,100.0,lowest
299,0.0,100.0,lowest
90,0.0,100.0,lowest
318,0.0,100.0,lowest
275,0.0,100.0,lowest
354,0.0,100.0,lowest
322,0.0,100.0,lowest
26,0.0,100.0,lowest
55,0.0,100.0,lowest
25,0.0,100.0,lowest
228,0.0,100.0,lowest
24,0.0,100.0,lowest
261,0.0,100.0,lowest
377,0.0,100.0,lowest
260,0.0,100.0,lowest
259,0.0,100.0,lowest
187,0.0,100.0,lowest
175,0.0,100.0,lowest
2,0.0,100.0,lowest
181,0.0,100.0,lowest
378,0.0,100.0,lowest
380,0.0,100.0,lowest
223,0.0,100.0,lowest
13,0.0,100.0,lowest
4,0.0,100.0,lowest
186,0.0,100.0,lowest
384,0.0,100.0,lowest
9,0.0,100.0,lowest
8,0.0,100.0,lowest
385,0.0,100.0,lowest
264,0.0,100.0,lowest
388,0.0,100.0,lowest
29,0.0,100.0,lowest
366,0.0,100.0,lowest
54,0.0,100.0,lowest
53,0.0,100.0,lowest
231,0.0,100.0,lowest
155,0.0,100.0,lowest
50,0.0,100.0,lowest
363,0.0,100.0,lowest
48,0.0,100.0,lowest
365,0.0,100.0,lowest
217,0.0,100.0,lowest
